accuracy,precision,gt_x,gt_y
1.382700028542774,0.08588255924575809,3.495380177656217,5.8328728398917775
1.4002182513425208,0.05754251030880684,4.147724006594183,9.631279377215323
1.4449553233696895,0.21503293399423218,3.4966628450934567,10.902051879044603
1.9225670815865645,0.10091768776067747,2.8698342314839658,5.744065726696049
1.628164835471915,0.043053204845575906,6.498232640903833,6.308623721401284
2.8392729315597367,0.02603484192558706,7.112704754497462,9.251109010819844
1.4374103515097276,0.1665457815981141,3.406205053713156,5.963869666186281
4.124909088788524,0.05499654300113154,6.370495545646202,5.144663659547829
3.6804830230936605,0.004792343396287669,3.800102357016873,6.60968078613719
0.44604492108405247,0.01144642338710942,0.4947498809287707,11.272999432502363
4.396648874824332,0.08283225767913033,2.441822222500373,10.39965655770259
2.9190969663223694,0.03683675304534606,5.34540622981535,11.969950466902377
2.601971395369549,0.07725748294147092,6.288088410954252,4.689218793800678
2.426734575973979,0.008441661112447083,6.78175072419262,1.9833086506284547
4.374373135311533,0.03975464479371032,3.7873905882690617,1.8869597610627864
2.3367018122086147,0.04422566352319509,6.197983010526394,11.511653958424278
5.2301565676503605,0.0,0.36954124385679865,10.28288383450384
4.647535467576866,0.06706010044395819,3.3593110199856233,7.2416716720107
2.8908299100082746,0.051091490049636576,6.717541776359306,11.74831642770161
5.141132438086954,0.011193884495326796,0.610461859332584,2.2270217724474946
3.876102900475177,0.029455930299243895,6.909990540122635,4.822603359223964
2.2234850197605334,0.034252957256657134,6.085558442986409,2.73701508436065
3.863764224954455,0.029503482815787352,6.853074913337511,0.819610353204632
4.704536197978282,0.048231533651819834,5.619845946539122,4.186630133810351
