timestamp,trackingState,hasCalibrated,gtX,gtY,rawX,rawY,calibratedX,calibratedY,filteredX,filteredY,leftDistance,rightDistance,showGaze,positionID
181498249306,1,1,564.5,1149.0,523.236,564.11237,412.2561,1037.6052,412.2561,1037.6052,37.35325,31.57049,0,0
181552528837,1,1,564.5,1149.0,498.3609,523.1724,363.67523,963.8588,363.67523,963.8588,38.41676,32.04269,0,0
181589464254,1,1,564.5,1149.0,580.3129,548.07996,459.98804,1013.36053,459.98804,1013.36053,38.96351,32.080456,0,0
181620252691,1,1,564.5,1149.0,591.2874,588.16095,486.86096,1092.7885,0.0,0.0,38.79068,33.324482,0,0
181648277535,1,1,564.5,1149.0,714.82117,556.66876,645.77313,999.2067,459.98804,1013.36053,39.18826,32.922817,0,0
181676583369,1,1,564.5,1149.0,662.4431,523.745,574.946,937.2726,486.86096,963.8588,39.850113,32.595524,0,0
181705830868,1,1,564.5,1149.0,572.2246,1083.4485,407.5534,1921.4473,459.98804,1013.36053,40.355896,34.519745,0,0
181736903577,1,1,564.5,1149.0,605.57556,1818.077,437.0383,1841.1383,459.98804,1013.36053,43.167778,35.13047,0,0
181768323056,1,1,564.5,1149.0,605.7893,1739.06,432.6577,1836.7715,437.0383,1836.7715,48.734924,36.385082,0,0
181796034879,1,1,564.5,1149.0,532.56696,910.5273,332.67163,1540.5219,437.0383,1540.5219,46.819504,34.58095,0,0
181829215139,1,1,564.5,1149.0,697.0055,634.54047,584.2393,1091.4718,437.0383,1540.5219,42.70769,34.060905,0,0
181863916910,1,1,564.5,1149.0,695.7228,553.8058,597.6826,963.7953,437.0383,1540.5219,40.783424,34.80829,0,0
181898781337,1,1,564.5,1149.0,689.02405,494.82938,593.93256,865.4143,584.2393,1091.4718,38.563576,32.45219,0,0
181928904879,1,1,564.5,1149.0,707.12476,441.8651,629.57196,722.54553,593.93256,963.7953,36.63577,34.901497,0,0
181961683941,1,1,564.5,1149.0,715.5338,361.1304,640.8653,515.21674,593.93256,865.4143,35.75768,35.874683,0,0
181995574306,1,1,564.5,1149.0,675.7692,409.22766,596.5901,648.16046,596.5901,722.54553,36.345295,34.88837,0,0
182028466077,1,1,564.5,1149.0,679.4749,398.06223,591.99304,614.91943,593.93256,648.16046,36.511818,35.421,0,0
182061186025,1,1,564.5,1149.0,683.18054,376.30396,593.78894,554.99774,593.93256,648.16046,37.467644,35.519753,0,0
182094576858,1,1,564.5,1149.0,751.5927,437.28442,680.8445,692.1108,593.93256,648.16046,37.340775,37.118164,0,0
182128532431,1,1,564.5,1149.0,669.6406,476.50662,589.1979,780.2324,593.93256,648.16046,35.940174,34.825184,0,0
182160546910,1,1,564.5,1149.0,699.42847,451.5991,631.8099,715.86646,593.93256,692.1108,36.563667,35.296,0,0
182194340504,1,1,564.5,1149.0,774.11163,419.24796,724.38324,649.9018,593.93256,649.9018,36.244843,33.104847,0,0
182227831806,1,1,564.5,1149.0,732.49426,444.72806,654.9788,716.5983,631.8099,692.1108,36.91093,33.467373,0,0
182260650868,1,1,564.5,1149.0,689.5942,558.3865,604.1587,970.2951,604.1587,692.1108,36.71816,34.3444,0,0
182294147795,1,1,564.5,1149.0,701.42377,445.5869,623.8099,711.6642,623.8099,711.6642,36.224503,33.16393,0,0
182329143629,1,1,564.5,1149.0,704.98694,443.29657,635.40204,697.4012,623.8099,697.4012,36.471115,33.357407,0,0
182360093316,1,1,564.5,1149.0,724.5129,501.70044,658.2954,842.6149,623.8099,711.6642,35.552727,32.476097,0,0
182394750660,1,1,564.5,1149.0,743.32623,462.76453,689.2109,741.1725,635.40204,711.6642,37.02843,33.123577,0,0
182427106806,1,1,564.5,1149.0,743.46875,509.43033,682.1632,842.03076,658.2954,741.1725,36.044647,31.878052,0,0
182460070295,1,1,564.5,1149.0,722.5175,485.3817,656.65076,801.06396,656.65076,741.1725,35.456165,31.521456,0,0
182493242014,1,1,564.5,1149.0,692.5872,423.54233,614.06055,658.63324,656.65076,741.1725,36.207493,32.54662,0,0
182526533889,1,1,564.5,1149.0,695.8653,495.68823,622.04034,818.8746,656.65076,741.1725,34.70623,31.955969,0,0
182560416285,1,1,564.5,1149.0,713.11084,448.16357,637.6079,694.8343,637.6079,741.1725,35.37567,30.806963,0,0
182593148420,1,1,564.5,1149.0,707.9799,473.92996,625.3947,782.34686,637.6079,741.1725,34.562817,31.882795,0,0
182626484097,1,1,564.5,1149.0,658.595,406.651,563.5734,614.30237,637.6079,741.1725,34.504814,31.55365,0,0
182660608160,1,1,564.5,1149.0,644.6275,430.4134,541.9426,677.8046,625.3947,741.1725,35.195553,33.95338,0,0
182693020399,1,1,564.5,1149.0,689.5942,385.17905,604.63635,553.3869,604.63635,677.8046,35.129917,33.599964,0,0
182726318733,1,1,564.5,1149.0,690.8769,451.0265,599.9385,733.35724,604.63635,733.35724,33.698757,33.187267,0,0
182761474566,1,1,564.5,1149.0,625.6716,454.7483,511.37003,749.02454,604.63635,733.35724,33.9627,33.009132,0,0
182794133108,1,1,564.5,1149.0,549.58093,540.6363,426.75864,954.0985,599.9385,733.35724,34.281414,33.10399,0,0
182826508160,1,1,564.5,1149.0,559.96747,449.30872,431.0545,761.43176,511.37003,749.02454,34.66049,33.168415,0,0
182859404201,1,1,564.5,1149.0,485.96124,519.1643,346.6754,902.0499,431.0545,761.43176,35.06654,32.875492,0,0
182893110451,1,1,564.5,1149.0,490.89615,483.95023,350.4447,821.8454,431.0545,761.43176,35.51868,33.291626,0,0
