timestamp,trackingState,hasCalibrated,gtX,gtY,rawX,rawY,calibratedX,calibratedY,filteredX,filteredY,leftDistance,rightDistance,showGaze,positionID
46093007951,1,1,564.5,1149.0,643.48724,1130.9731,391.17978,1267.7372,391.17978,1267.7372,35.39405,33.018116,0,0
46138819044,1,1,564.5,1149.0,767.8405,1196.2479,679.11597,1362.3075,679.11597,1362.3075,36.157406,34.687637,0,0
46176016961,1,1,564.5,1149.0,755.44086,1090.8921,638.1815,1274.9102,638.1815,1274.9102,36.916412,34.941826,0,0
46214907794,1,1,564.5,1149.0,795.918,1125.2472,743.8792,1311.3033,0.0,0.0,35.84328,35.138947,0,0
46252981232,1,1,564.5,1149.0,792.4974,1051.3835,729.9914,1253.2262,679.11597,1267.7372,36.061028,34.921974,0,0
46289963107,1,1,564.5,1149.0,808.0327,1118.9487,773.77563,1303.1307,729.9914,1303.1307,35.22094,35.360275,0,0
46330730503,1,1,564.5,1149.0,780.52527,1105.2067,704.90234,1285.8113,704.90234,1285.8113,33.824436,37.37218,0,0
46373629982,1,1,564.5,1149.0,807.17755,1005.5766,760.66144,1217.8198,729.9914,1285.8113,34.239582,35.25377,0,0
46409294982,1,1,564.5,1149.0,754.15814,1175.6349,635.5546,1350.8386,704.90234,1285.8113,33.79697,33.494102,0,0
46449173576,1,1,564.5,1149.0,791.9273,876.7446,722.6057,1083.5684,722.6057,1285.8113,35.503773,31.707788,0,0
46488155919,1,1,564.5,1149.0,767.5555,1113.7955,668.52576,1290.5643,704.90234,1285.8113,34.698864,33.232616,0,0
46525671753,1,1,564.5,1149.0,801.90405,1165.3282,768.44836,1330.2826,722.6057,1285.8113,37.78803,33.987022,0,0
46563768836,1,1,564.5,1149.0,736.9126,1124.102,594.15094,1285.7076,704.90234,1285.8113,35.781734,34.483074,0,0
46607413992,1,1,564.5,1149.0,746.6043,1120.6665,620.31305,1283.7655,704.90234,1285.8113,36.85868,34.021454,0,0
46643059617,1,1,564.5,1149.0,759.5741,1096.0453,647.7702,1274.0938,647.7702,1285.7076,37.902344,34.32879,0,0
46677831388,1,1,564.5,1149.0,776.6771,1070.8514,697.1147,1241.826,697.1147,1283.7655,35.295464,32.952904,0,0
46718025294,1,1,564.5,1149.0,763.1372,1065.1256,651.08124,1255.9425,651.08124,1274.0938,35.13702,32.992455,0,0
46756613940,1,1,564.5,1149.0,776.5346,1059.9724,685.0991,1251.5527,685.0991,1255.9425,35.403492,32.605057,0,0
46795641753,1,1,564.5,1149.0,774.53925,1082.8757,685.9459,1259.2736,685.0991,1259.2736,34.73921,33.404137,0,0
46836671648,1,1,564.5,1149.0,793.6376,1237.4741,749.678,1401.2933,685.0991,1259.2736,34.970722,34.571808,0,0
46875660711,1,1,564.5,1149.0,783.94586,1108.6422,716.015,1279.4836,685.9459,1259.2736,34.885513,33.088547,0,0
46911741492,1,1,564.5,1149.0,763.70734,1067.9885,652.4688,1249.2919,685.0991,1259.2736,35.123817,34.81578,0,0
46948784044,1,1,564.5,1149.0,732.35175,1174.4896,582.16876,1332.1763,685.0991,1259.2736,35.6626,32.519505,0,0
46986193367,1,1,564.5,1149.0,793.2101,1075.4321,739.6023,1243.8131,685.0991,1259.2736,37.16895,32.421677,0,0
47022114513,1,1,564.5,1149.0,775.82196,1112.6504,690.7007,1284.7012,685.0991,1259.2736,36.389336,33.016605,0,0
47058117690,1,1,564.5,1149.0,770.97614,1165.3282,685.81555,1324.4957,685.81555,1259.2736,38.07593,32.251015,0,0
47094138992,1,1,564.5,1149.0,752.1628,1115.5132,632.3628,1271.3488,685.0991,1271.3488,34.97804,31.986328,0,0
47130981075,1,1,564.5,1149.0,761.712,1113.2229,654.9743,1278.3403,685.0991,1271.3488,35.882893,32.29485,0,0
47167774669,1,1,564.5,1149.0,716.2464,1116.6583,548.5481,1257.508,654.9743,1271.3488,35.271786,31.660484,0,0
47204397690,1,1,564.5,1149.0,743.32623,1088.029,611.451,1247.2875,654.9743,1271.3488,35.19766,32.860886,0,0
47240375190,1,1,564.5,1149.0,761.2844,1045.0851,657.7258,1208.5275,654.9743,1257.508,35.788322,32.533615,0,0
47276366909,1,1,564.5,1149.0,756.15344,1097.7631,642.8794,1266.4048,654.9743,1266.4048,36.812252,32.574787,0,0
47313650763,1,1,564.5,1149.0,735.91486,1151.5862,584.85046,1326.4167,654.9743,1266.4048,35.86479,31.574652,0,0
47350710502,1,1,564.5,1149.0,776.5346,1096.0453,692.7887,1270.648,654.9743,1266.4048,36.835262,32.515747,0,0
47387558731,1,1,564.5,1149.0,748.4571,1021.6091,608.2014,1222.0068,654.9743,1266.4048,36.855663,31.829277,0,0
47423916804,1,1,564.5,1149.0,761.2844,1089.1743,644.55493,1281.4312,654.9743,1266.4048,37.174957,33.01762,0,0
47459800971,1,1,564.5,1149.0,728.78864,1004.43146,559.81146,1211.5258,644.55493,1266.4048,37.19008,32.422295,0,0
47496880815,1,1,564.5,1149.0,762.70966,1061.1176,645.2343,1262.9565,645.2343,1266.4048,35.76922,31.558247,0,0
47532831283,1,1,564.5,1149.0,780.66785,1074.287,696.87994,1267.3412,645.2343,1266.4048,36.662655,32.577744,0,0
47569564929,1,1,564.5,1149.0,792.4974,1134.4086,729.3547,1320.8181,645.2343,1266.4048,37.7472,32.83417,0,0
47605267638,1,1,564.5,1149.0,775.5369,1118.9487,682.48376,1306.7996,682.48376,1267.3412,36.944813,32.61693,0,0
47641248471,1,1,564.3983,1152.5848,792.925,1121.2391,726.3459,1318.4033,682.48376,1306.7996,36.945244,32.956585,0,0
