x_raw,y_raw,x_filtered,y_filtered,gaze_timestamp,record_timestamp
306.3221,858.7501,131.89888,1289.0393,586479455047002,586479536324502
648.1081,920.5727,131.89888,1289.0393,586479536435648,586479572091065
696.0242,982.6298,306.3221,982.6298,586479572209554,586479607373044
704.08716,993.38666,648.1081,993.38666,586479607520909,586479647118669
698.1316,890.23236,696.0242,982.6298,586479647254607,586479683659242
658.102,918.8643,658.102,982.6298,586479683950909,586479725171377
471.29022,1055.6987,658.102,982.6298,586479725332367,586479762546638
346.50262,1107.1903,658.102,982.6298,586479762733825,586479806342159
366.64148,1044.4503,471.29022,1044.4503,586479806746846,586479846890856
347.0394,1026.6721,366.64148,1026.6721,586479847032419,586479885277836
429.88422,1101.9984,429.88422,1044.4503,586479885391898,586479932730075
659.6559,1047.8818,429.88422,1044.4503,586479932823877,586479978053252
621.76306,1138.2408,429.88422,1047.8818,586479978207836,586480015460544
658.26166,1064.2274,621.76306,1047.8818,586480015617523,586480063379398
825.2158,1017.64185,621.76306,1047.8818,586480063474294,586480099235544
839.7638,996.36163,658.26166,1047.8818,586480099428096,586480134835283
739.40656,1092.9353,739.40656,1047.8818,586480134941742,586480168378617
275.6787,1102.1176,658.26166,1047.8818,586480168518773,586480205883565
262.50336,1071.3098,658.26166,1071.3098,586480206139815,586480239317523
253.33447,1110.2439,275.6787,1071.3098,586480239598044,586480271800700
254.1279,1190.4202,262.50336,1071.3098,586480271907210,586480304367471
273.19363,1110.3394,273.19363,1110.2439,586480304460700,586480338645856
263.07437,1118.3671,263.07437,1110.3394,586480338761169,586480374009242
264.52155,1184.7618,264.52155,1110.3394,586480374145752,586480409091377
217.2557,1208.9631,263.07437,1118.3671,586480409266690,586480443073877
219.09178,1164.845,263.07437,1164.845,586480443237731,586480477023252
202.48094,1143.1909,219.09178,1143.1909,586480477261898,586480513256117
232.6819,1179.6814,232.6819,1164.845,586480513364085,586480543578200
661.66174,1169.2344,232.6819,1164.845,586480543746429,586480574614919
758.0896,1191.8348,232.6819,1169.2344,586480574789762,586480608699346
804.85126,1163.1495,661.66174,1164.845,586480608876742,586480639953460
804.83185,1215.4303,758.0896,1169.2344,586480640353877,586480673881377
791.9516,1229.7577,791.9516,1169.2344,586480674043564,586480711162367
876.5605,1129.768,791.9516,1169.2344,586480711321012,586480744485179
878.108,1172.443,791.9516,1169.2344,586480744693304,586480779187887
859.8957,1163.4868,859.8957,1169.2344,586480779356221,586480812252262
880.1279,1212.6884,859.8957,1169.2344,586480812438721,586480848164085
897.172,1171.2421,859.8957,1169.2344,586480848264606,586480879139033
888.1433,1192.1404,880.1279,1171.2421,586480879727054,586480911246689
948.3367,1218.658,888.1433,1171.2421,586480911384554,586480943286325
939.3464,1184.1293,888.1433,1184.1293,586480944247054,586480978901221
942.6334,1099.7273,939.3464,1171.2421,586480979016637,586481010295491
404.32965,1243.937,888.1433,1184.1293,586481010466689,586481041551898
357.0421,1228.6729,888.1433,1184.1293,586481041746064,586481073396689
325.3369,1265.1143,404.32965,1228.6729,586481073516741,586481103949710
270.2445,1312.0475,357.0421,1228.6729,586481104477783,586481138127158
296.3833,1297.8138,325.3369,1265.1143,586481138534606,586481172612262
556.0083,684.5305,357.0421,1228.6729,586481172796481,586481206052835
594.1387,616.4333,357.0421,1228.6729,586481206214866,586481241003564
423.16443,907.6608,423.16443,907.6608,586481241174241,586481278362210
369.47507,1064.972,369.47507,1064.972,586481278527575,586481310646012
363.33615,1123.4135,369.47507,1064.972,586481310839502,586481342135387
341.511,1233.7966,369.47507,1064.972,586481342264658,586481374581064
638.03,1226.5758,369.47507,1123.4135,586481374734398,586481407060491
752.96814,1159.1337,369.47507,1159.1337,586481407255856,586481442632158
782.4827,1161.3793,638.03,1159.1337,586481442724866,586481474566429
759.1096,1202.4983,752.96814,1159.1337,586481474752939,586481507729710
775.6298,1258.4149,759.1096,1161.3793,586481507921377,586481540111377
833.78723,1200.2227,759.1096,1200.2227,586481540322679,586481571146950
871.0234,1163.14,775.6298,1163.14,586481571315804,586481604936533
878.3215,1175.7963,833.78723,1175.7963,586481605111689,586481638604710
815.7454,1166.6005,815.7454,1166.6005,586481638781064,586481680725335
767.7531,1168.5057,815.7454,1168.5057,586481680890335,586481711387575
700.22437,1180.0815,815.7454,1168.5057,586481711914502,586481742074085
769.62665,1200.8859,769.62665,1168.5057,586481742205595,586481773497522
701.904,1235.9834,769.62665,1180.0815,586481773682731,586481805886012
685.3746,1259.3093,769.62665,1200.8859,586481806058460,586481842943095
640.56696,1235.9531,701.904,1235.9531,586481843050231,586481884678772
691.95087,1225.3809,691.95087,1225.3809,586481884793147,586481914791637
749.50354,1199.0284,701.904,1225.3809,586481914963720,586481949694970
764.1746,1188.4034,701.904,1225.3809,586481949883095,586481982121585
776.7526,1167.9512,749.50354,1199.0284,586481982280804,586482014913095
776.91394,1166.2257,764.1746,1188.4034,586482015159033,586482045883981
777.34564,1174.2034,776.7526,1174.2034,586482046002418,586482075405283
