accuracy,precision,gt_x,gt_y
0.7940630856592547,0.013328274957408588,2.219619000121068,3.2896794093598247
0.35477278425212816,0.007655312754596194,4.111268706915585,14.763839246013758
0.6921683465745203,0.024022905798795895,2.336200383121257,6.70107552633734
0.6682131382289425,0.002115543361937115,1.629258430642277,5.61100480225639
0.18704439759497055,0.02126843978233402,1.4188536931287863,1.497066793819371
0.2703651810647862,0.039264918976184615,5.5051195665051935,7.307692658921565
0.9664024349670122,0.005004345020359242,5.989974709637767,3.390711337568218
0.29071555705552615,0.03394237223785144,3.40253280150702,11.78670854404773
0.8005038998347369,0.027272335413960874,4.811554835025652,1.8639542356625465
0.4698705084179215,0.02167295308953534,6.673023212577375,4.907696651199901
0.4614806576854337,0.030118325470286922,4.145570194189152,10.561801782037666
0.24636230238491777,0.016531319060826156,7.010778121041975,12.626133243417543
0.35950240662089317,0.024437164272257353,3.1910427985267327,0.9692945127955287
0.5344615890849104,0.0351262964279142,3.3307584454250216,4.3496202084703075
0.45599777308869055,0.05996851294451921,2.023049804252726,8.83490629654866
0.6963473190232774,0.005200818794826462,5.453855693115408,0.650407620105494
0.6387989341223583,0.03720601907773934,0.35754944072669814,13.153930698033914
1.1203781790131637,0.046115811689935865,4.3715183669664155,5.908444101106598
0.8541816224281485,0.012324868750366242,4.669230138411807,8.20998107186281
0.9519944185053962,0.0,3.87852253375807,2.3067869268892274
0.9183091029621846,0.033837187948450885,5.537411198867621,7.149086063975347
1.0161142457912395,0.01812942256886809,5.488946445677947,5.899612195174817
0.45398116745314676,0.02507738935777657,5.540760865694776,13.924770660879727
0.21615738404942628,0.06248720897927204,1.555441673333289,8.785509431663565
